,Name,ContactNo,Address,Link
40,Chase Value Centre - Khalid Bin Waleed Road,(021) 111 124 273,"125, N Khalid Bin Walid Rd, P.E.C.H.S Block 2 Block 2 PECHS, Karachi, Karachi City, Sindh 75400",Not Found
41,diKHAWA,0321 3454292,"729C, P.E.C.H.S Block 2 Block 2 PECHS, Karachi, Karachi City, Sindh",Not Found
42,The Women Secret,0317 4716500,"10th Commercial Ln, Zamzama Commercial Area Defence V Karachi, Karachi City, Sindh 75600",Not Found
43,Flourish Undergarmnets,Not found.,"Bahadurabad Bahadur Yar Jang CHS, Karachi, Karachi City, Sindh",Not Found
44,Jockey Boat Basin,(021) 35187707,"Boat Basin K, Shop No. SA-9 Sea Breeze Centre Block 5, D.A Scheme # 5 Block 5 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
45,"Intimate Fashion, Clifton",(021) 35303258,"Block 8 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
46,AMANTE,Not found.,"1 Sea View Rd, Block 4 Clifton, Karachi, Karachi City, Sindh 74400",Not Found
47,"jockey forum mall, karachi",(021) 35303749,"Plot F, 1, Block 9 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
48,Dolmen Mall Tariq Road,(021) 34538034,"10 Tariq Rd, Delhi Society Delhi CHS PECHS, Karachi, Karachi City, Sindh",Not Found
49,The Women Secret,0317 4716500,"Khayaban-e-Mujahid, Phase V Defence V Defence Housing Authority, Karachi, Karachi City, Sindh 75500",Not Found
50,"Intimate Fashions, Hyderi",Not found.,"1st Floor, Khursheed Market, Block G, Block G North Nazimabad Town, Karachi, Karachi City, Sindh",Not Found
51,Jockey Mono Store Boad Basin,0347 8288205,"Kheyaban-e-Roomi, Block 5 Clifton, Karachi, Karachi City, Sindh 75500",Not Found
52,Final Choice Hydri,0333 0360888,"Hyderi, 75950, B 1 Block H North Nazimabad Town, Karachi, Karachi City, Sindh",Not Found
53,Women's Beauty,0301 2192654,"SHOP#1, SB-25, 4, near Nawaz Shareef Park, Sector X Gulshan-e-Maymar, Karachi, Karachi City, Sindh 75340",https://womensbeauty.business.site/?utm_source=gmb&utm_medium=referral
54,Debenhams,(021) 35296172,"Block 4 Clifton, Karachi, Karachi City, Sindh",Not Found
55,Dress nation,0300 3388678,"Jafar e Tayyar, Karachi, Karachi City, Sindh",Not Found
56,Bindas Collection,0335 3636289,"plot # B, 536, Federal B Area Block 13 Gulberg Town, Karachi, Karachi City, Sindh 75950",https://bindascollection.com/
57,Brands4Less,(021) 35295164,"Shop# 22-E, Zamzama 5th Commercial Lane, DHA Phase 5، Zamzama Commercial Area Defence V Karachi, Karachi City, Sindh 75500",https://b4less.pk/
58,Chase Department Store Clifton,(021) 35832192,"G-19/2 Chapal Luxury Apartments Kh-e-Jami Block 9 Clifton, Block 9 Clifton, Karachi, Karachi City, Sindh 75500",Not Found
59,"babyshop Ground Floor, Ocean Mall,11 Talwar,Clifton.",(021) 35140861,"Block 9 Clifton, Karachi, Karachi City, Sindh 75600",Not Found
60,"Chase Up, Gulshan Branch",(021) 34155190,"Block 3 Gulshan-e-Iqbal, Karachi, Karachi City, Sindh",Not Found
61,Manzoor traders,(021) 32436186,"Shop no 6 new neham road, Bunder Quarter, Karachi, Karachi City, Sindh 70096",https://manzoortraders.business.site/?utm_source=gmb&utm_medium=referral
62,"Chase, Omega Mall, North Karachi",(021) 36900011,"140/11 Service Road, Sector 5-I Sector 5 M New Karachi Town, Karachi, Karachi City, Sindh",Not Found
